Id,DateTime,AlgorithmType,NQueens,Seed,MutationRate,FinalMutationRate,Generations,PopulationSize,Complexity,ElapsedTimeSeconds,StagnationCount,StagnationMutationThresholdHigh,StagnationMutationThresholdLow,Intersections,Failures
1,2025-03-19 19:36:55,Genetic,256,0,0.2,0.2,2,2000,85333.33,507.104,0,200,50,0,0
2,2025-03-19 19:38:00,Genetic,4,0,0.2,0.2,2,50,33.33,0.017,0,200,50,0,0
3,2025-03-19 19:38:00,Genetic,4,1,0.2,0.2,2,50,33.33,0.02,0,200,50,0,0
4,2025-03-19 19:38:00,Genetic,4,2,0.2,0.2,2,50,33.33,0.019,0,200,50,0,0
5,2025-03-19 19:38:01,Genetic,4,3,0.2,0.2,2,50,33.33,0.017,0,200,50,0,0
2797,2025-03-19 20:17:49,Tournament,80,95,0.0,0.0,6,400,192000.0,0.076,0,0,0,1,1
2798,2025-03-19 20:17:50,Tournament,80,96,0.0,0.0,7,400,224000.0,0.065,0,0,0,1,1
2799,2025-03-19 20:17:50,Tournament,80,97,0.0,0.0,7,400,224000.0,0.069,0,0,0,1,1
2800,2025-03-19 20:17:51,Tournament,80,98,0.0,0.0,8,400,256000.0,0.052,1,0,0,1,1
2801,2025-03-19 20:17:51,Tournament,80,99,0.0,0.0,6,400,192000.0,0.037,0,0,0,1,1
